COVID-19 Vaccinations in the United States
Date generated: Sat Feb 06 2021 15:08:47 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,245700,134002,33586,18318,101225,13837,32593,4455
Alabama,799875,430597,16313,8782,353522,7210,76603,1562
Arkansas,535550,351175,17746,11637,274459,9095,73810,2446
American Samoa,29450,12029,52883,21600,9775,17553,2252,4044
Arizona,1186000,719458,16294,9884,597525,8209,121227,1665
Bureau of Prisons,37050,38164,N/A,N/A,25657,0,12426,0
California,6773350,3920632,17142,9923,3228084,8170,675027,1708
Colorado,989075,661703,17175,11490,495381,8602,162511,2822
Connecticut,668125,502347,18740,14090,387627,10872,106224,2979
District of Columbia,166950,98862,23656,14008,69999,9918,22719,3219
Dept of Defense,940100,559379,N/A,N/A,452438,0,97352,0
Delaware,161525,114226,16588,11730,92265,9475,21264,2184
Florida,3791925,2260744,17655,10526,1812723,8440,440172,2049
Federated States of Micronesia,21900,7005,21130,6759,6943,6699,35,34
Georgia,1688075,1051622,15899,9905,860543,8105,169163,1593
Guam,51300,27369,30947,16510,21871,13194,5321,3210
Hawaii,262900,169713,18568,11986,126683,8947,33726,2382
Iowa,507850,293377,16096,9299,215693,6836,74252,2353
Idaho,262275,159394,14676,8919,120147,6723,28970,1621
Indian Health Svc,492875,244323,N/A,N/A,185622,0,54966,0
Illinois,2089050,1247521,16486,9845,962345,7594,260248,2054
Indiana,1117350,710888,16597,10559,568118,8439,142405,2115
Kansas,492250,263624,16897,9049,206997,7105,54834,1882
Kentucky,747000,483777,16720,10828,387902,8682,93651,2096
Louisiana,746550,536404,16059,11539,404021,8691,131355,2826
Massachusetts,1247600,685074,18101,9939,539877,7833,143690,2085
Maryland,1011875,594647,16737,9836,478473,7914,115640,1913
Maine,254550,159236,18937,11846,119024,8855,38542,2867
Marshall Islands,21000,4553,35951,7794,4072,6971,443,758
Michigan,1639575,1134175,16417,11357,866766,8679,252963,2533
Minnesota,934400,634453,16568,11250,459716,8152,131728,2336
Missouri,957550,536188,15602,8736,412990,6729,118308,1928
Northern Mariana Islands,29650,11332,52125,19922,7633,13419,3692,6491
Mississippi,495950,275884,16664,9270,238039,7998,37572,1262
Montana,163675,122536,15314,11465,91611,8572,30749,2877
North Carolina,1718275,1110074,16383,10584,902198,8602,206642,1970
North Dakota,131625,112827,17272,14805,78325,10278,30829,4045
Nebraska,346175,204136,17896,10553,147583,7629,55313,2859
New Hampshire,245000,153145,18019,11263,112544,8277,40489,2978
New Jersey,1435750,884736,16164,9961,724879,8161,157642,1775
New Mexico,364875,306945,17401,14639,231864,11058,71951,3431
Nevada,425300,304323,13808,9880,252886,8210,49925,1621
New York State,3378300,2132305,17366,10961,1610832,8280,426368,2192
Ohio,1901750,1177237,16269,10071,936321,8010,239651,2050
Oklahoma,700225,510693,17696,12906,393313,9940,114208,2886
Oregon,733875,487153,17400,11550,378078,8964,107146,2540
Pennsylvania,2292500,1271529,17907,9932,993076,7757,275444,2152
Puerto Rico,623325,288024,19517,9019,221431,6933,65261,2043
Rhode Island,178600,106949,16859,10096,77940,7357,28979,2736
Republic of Palau,6000,3360,33506,18764,3109,17362,251,1402
South Carolina,684700,518892,13298,10078,418519,8129,96485,1874
South Dakota,153450,121593,17346,13745,85921,9712,35590,4023
Tennessee,1108925,718487,16238,10521,500458,7328,215763,3159
Texas,4244375,2930767,14638,10108,2257870,7787,670782,2313
Utah,493425,376495,15391,11744,271345,8464,80826,2521
Virginia,1387775,993848,16259,11644,805624,9438,159239,1866
Veterans Health,1600425,1078011,N/A,N/A,847699,0,229255,0
Virgin Islands,20625,8884,19703,8487,6673,6375,2211,2112
Vermont,116075,80054,18602,12829,57432,9204,22483,3603
Washington,1172525,827944,15398,10873,658508,8648,157317,2066
Wisconsin,926300,595152,15909,10222,491942,8449,96850,1663
West Virginia,328600,291819,18336,16283,203731,11368,87679,4892
Wyoming,101650,67417,17563,11649,53630,9266,12852,2221
