COVID-19 Vaccinations in the United States
Date generated: Thu Feb 18 2021 15:09:19 GMT+0000 (Coordinated Universal Time)

State/Territory/Federal Entity,Total Delivered,Total Administered,Delivered per 100K,Administered per 100K,People with 1+ Doses,People with 1+ Doses per 100K,People with 2 Doses,People with 2 Doses Per 100K
Alaska,271550,193617,37120,26467,130751,17873,62474,8540
Alabama,1032175,650020,21051,13257,494424,10084,154341,3148
Arkansas,649225,486949,21513,16136,345271,11441,138254,4581
American Samoa,29450,16269,52883,29214,10267,18436,5989,10754
Arizona,1396475,1164900,19186,16004,892791,12266,267967,3682
Bureau of Prisons,45725,48614,N/A,N/A,30901,0,17598,0
California,8406525,6323011,21276,16003,4766592,12064,1507829,3816
Colorado,1230425,1024167,21366,17785,704742,12238,314557,5462
Connecticut,916075,738191,25694,20705,509165,14281,218777,6136
District of Columbia,193900,128460,27474,18202,88287,12510,39973,5664
Dept of Defense,1102225,759117,N/A,N/A,566933,0,181856,0
Delaware,189050,155111,19414,15929,118666,12186,35601,3656
Florida,4699950,3702569,21883,17239,2498089,11631,1180757,5498
Federated States of Micronesia,30000,10603,28946,10230,9118,8798,1449,1398
Georgia,2131775,1473440,20078,13878,1040075,9796,402578,3792
Guam,51300,41007,30947,24738,28460,17169,12251,7390
Hawaii,320950,240715,22668,17001,170911,12071,69799,4930
Iowa,619000,495487,19619,15704,367577,11650,122291,3876
Idaho,334550,270169,18721,15118,191063,10691,67805,3794
Indian Health Svc,697025,390833,34273,19217,282359,13884,102592,5044
Illinois,2694700,1996099,21265,15752,1531557,12086,431310,3404
Indiana,1447050,1113413,21494,16539,797872,11852,313895,4663
Kansas,581975,405166,19976,13907,295950,10159,106249,3647
Kentucky,911575,719857,20404,16113,514681,11520,202064,4523
Louisiana,900725,791574,19375,17028,531448,11432,258404,5559
Massachusetts,1526150,1170398,22142,16981,879627,12762,288309,4183
Maryland,1247775,903172,20639,14939,648414,10725,253696,4196
Maine,321850,242445,23943,18036,174543,12985,65928,4905
Marshall Islands,21000,6458,35951,11056,5685,9732,728,1246
Michigan,2146125,1680901,21489,16831,1136393,11379,526520,5272
Minnesota,1165050,925182,20658,16405,681366,12082,240414,4263
Missouri,1138675,892006,18553,14534,637707,10390,244879,3990
Northern Mariana Islands,29650,14743,52125,25919,9043,15898,5691,10005
Mississippi,614100,438364,20634,14729,318006,10685,119684,4021
Montana,207250,184579,19391,17270,132847,12430,51293,4799
North Carolina,2075375,1734825,19788,16541,1223476,11665,509113,4854
North Dakota,163150,154087,21409,20220,102414,13439,49615,6511
Nebraska,427000,294904,22074,15245,201138,10398,91998,4756
New Hampshire,321625,218316,23654,16056,152041,11182,66108,4862
New Jersey,1790200,1480413,20155,16667,1067242,12016,407180,4584
New Mexico,454350,447379,21668,21336,302820,14442,139262,6642
Nevada,593275,453012,19261,14707,340695,11061,109852,3566
New York State,4018450,3178252,20657,16338,2138943,10995,955337,4911
Ohio,2373775,1825178,20308,15614,1325650,11341,496235,4245
Oklahoma,816650,696437,20638,17600,485563,12271,206905,5229
Oregon,878600,692781,20831,16425,487286,11553,202959,4812
Pennsylvania,2717400,1950185,21226,15233,1445138,11288,498866,3897
Puerto Rico,716800,392136,22444,12278,277616,8693,113075,3541
Rhode Island,234500,151436,22136,14295,103283,9750,48089,4539
Republic of Palau,9200,5011,51377,27983,3112,17379,1899,10605
South Carolina,939350,755422,18244,14672,551943,10720,190900,3708
South Dakota,189250,165865,21392,18749,113425,12821,52337,5916
Tennessee,1404675,999517,20569,14636,680454,9964,314957,4612
Texas,5113175,4312301,17634,14872,3059756,10552,1249085,4308
Utah,605650,532635,18891,16614,314844,9821,118086,3683
Virginia,1714800,1460103,20090,17106,1060294,12422,368764,4320
Veterans Health,2080550,1720294,N/A,N/A,1230159,0,488912,0
Virgin Islands,26425,13162,25244,12574,9302,8886,3860,3687
Vermont,150375,115964,24099,18584,78816,12631,36957,5923
Washington,1500225,1225920,19701,16099,898805,11803,312815,4108
Wisconsin,1238725,1012491,21275,17389,748247,12851,252667,4340
West Virginia,441500,396009,24635,22097,251627,14041,144370,8056
Wyoming,127075,100186,21956,17310,72339,12499,27531,4757
